trial	lh	ps	id	rw	wt	alh	aps	aid	arw	awt	rep	cost	time	Quality	rework time	rework cost	rework+cost	rework+time
50	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	4	0.536	8733	450	0	0	0.536	8733
51	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	4	0.583	14448	450	0	0	0.583	14448
52	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	4	0.540	10118	450	0	0	0.540	10118
53	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	4	0.585	15063	450	0	0	0.585	15063
54	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	4	0.531	10421	450	0	0	0.531	10421
55	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	4	0.549	16653	450	0	0	0.549	16653
56	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	4	0.565	8480	450	0	0	0.565	8480
57	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	4	0.585	15115	450	0	0	0.585	15115
58	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	4	0.592	10646	400	30	0.1875	0.779	10676
59	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	4	0.609	16477	400	30	0.1875	0.796	16507
60	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	4	0.566	8580	450	0	0	0.566	8580
61	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	4	0.591	17065	450	0	0	0.591	17065
62	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	4	0.567	8944	450	0	0	0.567	8944
63	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	4	0.570	13478	450	0	0	0.570	13478
64	1	1	1	1	1	0.28	60	0.15	0.8	0.8	4	0.568	9448	450	0	0	0.568	9448
65	-1	-1	-1	-1	1	0.16	50	0.25	0.4	0.8	5	0.532	17634	450	0	0	0.532	17634
66	1	-1	-1	-1	-1	0.28	50	0.25	0.4	1.2	5	0.536	8736	450	0	0	0.536	8736
67	-1	1	-1	-1	-1	0.16	60	0.25	0.4	1.2	5	0.583	14360	450	0	0	0.583	14360
68	1	1	-1	-1	1	0.28	60	0.25	0.4	0.8	5	0.540	10200	450	0	0	0.540	10200
69	-1	-1	1	-1	-1	0.16	50	0.15	0.4	1.2	5	0.585	15026	450	0	0	0.585	15026
70	1	-1	1	-1	1	0.28	50	0.15	0.4	0.8	5	0.531	10422	450	0	0	0.531	10422
71	-1	1	1	-1	1	0.16	60	0.15	0.4	0.8	5	0.549	16565	450	0	0	0.549	16565
72	1	1	1	-1	-1	0.28	60	0.15	0.4	1.2	5	0.565	8538	450	0	0	0.565	8538
73	-1	-1	-1	1	-1	0.16	50	0.25	0.8	1.2	5	0.585	15122	450	0	0	0.585	15122
74	1	-1	-1	1	1	0.28	50	0.25	0.8	0.8	5	0.591	10579	450	0	0	0.591	10579
75	-1	1	-1	1	1	0.16	60	0.25	0.8	0.8	5	0.610	16806	400	30	0.1875	0.797	16836
76	1	1	-1	1	-1	0.28	60	0.25	0.8	1.2	5	0.566	8582	450	0	0	0.566	8582
77	-1	-1	1	1	1	0.16	50	0.15	0.8	0.8	5	0.591	17058	450	0	0	0.591	17058
78	1	-1	1	1	-1	0.28	50	0.15	0.8	1.2	5	0.567	8958	450	0	0	0.567	8958
79	-1	1	1	1	-1	0.16	60	0.15	0.8	1.2	5	0.570	13462	450	0	0	0.570	13462
80	1	1	1	1	1	0.28	60	0.15	0.8	0.8	5	0.568	9459	450	0	0	0.568	9459
